Model,Accuracy,Precision,Recall,F1 Score
svm,0.9466811751904244,0.9515418502202643,0.9411764705882353,0.9463307776560789
logistic_regression,0.9281828073993471,0.9476082004555809,0.906318082788671,0.9265033407572383
random_forest,0.9053318824809575,0.920814479638009,0.8867102396514162,0.9034406215316315
naive_bayes,0.8835690968443961,0.8809523809523809,0.8867102396514162,0.8838219326818675
decision_tree,0.8454842219804135,0.8660508083140878,0.8169934640522876,0.8408071748878924
