Model,Accuracy_Before,Precision,Recall,F1 Score,Accuracy_After,Improvement
svm,0.9466811751904244,0.9515418502202644,0.9411764705882352,0.9463307776560788,0.942328618063112,-0.0043525571273124175
logistic_regression,0.9281828073993472,0.9476082004555808,0.906318082788671,0.9265033407572384,0.9379760609357998,0.00979325353645255
random_forest,0.9053318824809576,0.920814479638009,0.8867102396514162,0.9034406215316316,0.910772578890098,0.005440696409140355
